region	population	year	month	count_extrapolated	rate_less_than_15	rate_less_than_16	rate_less_than_17	rate_less_than_18	rate_less_than_19	rate_less_than_20	rate_less_than_21	rate_less_than_22	rate_less_than_23	rate_less_than_24	rate_less_than_25	rate_less_than_26	rate_less_than_27	rate_less_than_28	rate_less_than_29	rate_less_than_30	rate_less_than_31	rate_less_than_32	rate_less_than_33	rate_less_than_34	rate_less_than_35	rate_less_than_36	rate_less_than_37	rate_less_than_38	rate_less_than_39	rate_less_than_40	rate_less_than_41	rate_less_than_42	rate_less_than_43	rate_less_than_44	rate_less_than_45	rate_less_than_46	rate_less_than_47	rate_less_than_48	rate_less_than_49	rate_less_than_50
Эстонская ССР	1126413	1939	1	0																																				
Эстонская ССР	1126413	1939	2	0																																				
Эстонская ССР	1126413	1939	3	9	0.0	0.0	0.0	0.0	0.0	0.0	0.7778	0.8889	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
Эстонская ССР	1126413	1939	4	5	0.0	0.0	0.0	0.0	0.0	0.0	0.6	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
Эстонская ССР	1126413	1939	5	0																																				
Эстонская ССР	1126413	1939	6	1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
Эстонская ССР	1126413	1939	7	3	0.0	0.0	0.0	0.0	0.0	0.6667	0.6667	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
Эстонская ССР	1126413	1939	8	0																																				
Эстонская ССР	1126413	1939	9	4	0.0	0.0	0.0	0.0	0.0	0.0	0.75	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
Эстонская ССР	1126413	1939	10	14	0.0	0.0	0.0	0.0	0.0	0.0714	0.5	0.8571	0.9286	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
Эстонская ССР	1126413	1939	11	0																																				
Эстонская ССР	1126413	1939	12	0																																				
Эстонская ССР	1126413	1940	1	1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
Эстонская ССР	1126413	1940	2	2	0.0	0.0	0.0	0.0	0.0	0.0	0.5	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
Эстонская ССР	1126413	1940	3	2	0.0	0.0	0.0	0.0	0.5	0.5	0.5	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
Эстонская ССР	1126413	1940	4	11	0.0	0.0	0.0	0.0	0.0909	0.0909	0.3636	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
Эстонская ССР	1126413	1940	5	3	0.0	0.0	0.0	0.0	0.0	0.3333	0.6667	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
Эстонская ССР	1126413	1940	6	2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5	0.5	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
Эстонская ССР	1126413	1940	7	2	0.0	0.0	0.0	0.0	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
Эстонская ССР	1126413	1940	8	1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
Эстонская ССР	1126413	1940	9	12	0.0	0.0	0.0	0.0	0.0	0.0	0.1	0.4	0.4	0.4	0.4	0.4	0.4	0.4	0.5	0.6	0.6	0.7	0.7	0.8	0.9	0.9	0.9	0.9	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
Эстонская ССР	1126413	1940	10	5	0.0	0.0	0.0	0.0	0.0	0.0	0.4	0.4	0.4	0.4	0.4	0.6	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
Эстонская ССР	1126413	1940	11	2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
Эстонская ССР	1126413	1940	12	2	0.0	0.0	0.0	0.0	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
Эстонская ССР	1126413	1941	1	6	0.0	0.0	0.0	0.0	0.0	0.3333	0.3333	0.3333	0.3333	0.3333	0.3333	0.3333	0.3333	0.3333	0.6667	0.8333	0.8333	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
Эстонская ССР	1126413	1941	2	10	0.0	0.0	0.0	0.0	0.0	0.2	0.3	0.5	0.6	0.7	0.7	0.7	0.7	0.7	0.9	0.9	0.9	0.9	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
Эстонская ССР	1126413	1941	3	8	0.0	0.0	0.0	0.0	0.0	0.375	0.5	0.625	0.625	0.625	0.625	0.75	0.75	0.75	0.75	0.875	0.875	0.875	0.875	0.875	0.875	0.875	0.875	0.875	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
Эстонская ССР	1126413	1941	4	7	0.0	0.0	0.0	0.0	0.1429	0.4286	0.5714	0.5714	0.7143	0.7143	0.7143	0.7143	0.7143	0.7143	0.8571	0.8571	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
Эстонская ССР	1126413	1941	5	20	0.0	0.0	0.0	0.0	0.0	0.05	0.15	0.3	0.4	0.4	0.4	0.45	0.5	0.65	0.7	0.85	0.85	0.9	0.9	0.9	0.9	0.9	0.95	0.95	0.95	0.95	0.95	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
Эстонская ССР	1126413	1941	6	202	0.0	0.0051	0.0203	0.0406	0.0508	0.1269	0.2132	0.264	0.2843	0.3299	0.3604	0.4264	0.4569	0.5127	0.5736	0.6142	0.6599	0.7208	0.797	0.8782	0.9492	0.9594	0.9695	0.9797	0.9949	0.9949	0.9949	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
Эстонская ССР	1126413	1941	7	803	0.0	0.0013	0.0025	0.0101	0.024	0.153	0.2491	0.3325	0.3565	0.3944	0.4286	0.4829	0.5322	0.5904	0.6435	0.6903	0.7509	0.8066	0.8647	0.9191	0.9659	0.9709	0.9785	0.9861	0.9874	0.9899	0.9975	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
Эстонская ССР	1126413	1941	8	191	0.0	0.0	0.0	0.0116	0.0233	0.0698	0.1221	0.157	0.1744	0.1919	0.2616	0.3023	0.3314	0.3837	0.4128	0.4651	0.5116	0.593	0.6512	0.7151	0.7616	0.7965	0.8488	0.907	0.9477	0.9709	0.9826	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
Эстонская ССР	1126413	1941	9	21	0.0	0.0	0.0	0.0526	0.1053	0.2632	0.3158	0.3158	0.3158	0.3158	0.3684	0.4211	0.5263	0.5263	0.5263	0.5263	0.5263	0.6316	0.6316	0.6316	0.6842	0.6842	0.7368	0.8947	0.9474	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
Эстонская ССР	1126413	1941	10	21	0.0	0.0526	0.1053	0.2105	0.3158	0.3684	0.4211	0.4211	0.4211	0.4211	0.4211	0.4211	0.4211	0.5263	0.5263	0.6316	0.6842	0.6842	0.7895	0.7895	0.8421	0.8947	0.9474	0.9474	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
Эстонская ССР	1126413	1941	11	22	0.0	0.0	0.05	0.05	0.25	0.3	0.45	0.5	0.5	0.5	0.5	0.55	0.55	0.6	0.7	0.7	0.75	0.95	0.95	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
Эстонская ССР	1126413	1941	12	9	0.0	0.0	0.1111	0.2222	0.2222	0.4444	0.5556	0.5556	0.5556	0.6667	0.6667	0.6667	0.6667	0.6667	0.6667	0.6667	0.7778	0.7778	0.7778	0.8889	0.8889	0.8889	0.8889	0.8889	0.8889	0.8889	0.8889	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
Эстонская ССР	1126413	1942	1	19	0.0	0.0	0.0	0.0	0.0	0.0588	0.2941	0.2941	0.3529	0.4118	0.4118	0.4118	0.4118	0.5294	0.5294	0.5882	0.5882	0.7059	0.7647	0.7647	0.8824	0.8824	0.9412	0.9412	0.9412	0.9412	0.9412	0.9412	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
Эстонская ССР	1126413	1942	2	25	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0417	0.1667	0.1667	0.3333	0.3333	0.4167	0.5417	0.5833	0.6667	0.7917	0.7917	0.7917	0.7917	0.9167	0.9167	0.9167	0.9167	0.9583	0.9583	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
Эстонская ССР	1126413	1942	3	11	0.0	0.0	0.0	0.0	0.0	0.1	0.1	0.2	0.3	0.3	0.4	0.4	0.6	0.7	0.7	0.8	0.8	0.9	0.9	0.9	0.9	0.9	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
Эстонская ССР	1126413	1942	4	6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.4	0.4	0.4	0.4	0.4	0.4	0.4	0.4	0.4	0.6	0.6	0.6	0.6	0.8	0.8	0.8	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
Эстонская ССР	1126413	1942	5	4	0.0	0.0	0.0	0.0	0.0	0.0	0.25	0.25	0.25	0.25	0.5	0.5	0.5	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
Эстонская ССР	1126413	1942	6	10	0.0	0.0	0.0	0.0	0.0	0.0	0.2222	0.2222	0.2222	0.3333	0.3333	0.3333	0.5556	0.6667	0.6667	0.7778	0.7778	0.7778	0.8889	0.8889	0.8889	0.8889	0.8889	0.8889	0.8889	0.8889	0.8889	0.8889	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
Эстонская ССР	1126413	1942	7	22	0.0	0.0	0.0	0.0455	0.0455	0.0455	0.0455	0.1364	0.1818	0.2273	0.2273	0.2273	0.2727	0.5	0.5	0.6364	0.6364	0.7273	0.8636	0.9091	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
Эстонская ССР	1126413	1942	8	8	0.0	0.0	0.0	0.0	0.5714	0.5714	0.8571	0.8571	0.8571	0.8571	0.8571	0.8571	0.8571	0.8571	0.8571	0.8571	0.8571	0.8571	0.8571	0.8571	0.8571	0.8571	0.8571	0.8571	0.8571	0.8571	0.8571	0.8571	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
Эстонская ССР	1126413	1942	9	8	0.0	0.0	0.0	0.0	0.375	0.375	0.5	0.5	0.5	0.625	0.625	0.625	0.875	0.875	0.875	0.875	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
Эстонская ССР	1126413	1942	10	8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.125	0.125	0.125	0.125	0.125	0.375	0.375	0.625	0.75	0.875	0.875	0.875	0.875	0.875	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
Эстонская ССР	1126413	1942	11	10	0.0	0.0	0.0	0.0	0.0	0.0	0.1111	0.1111	0.1111	0.1111	0.1111	0.1111	0.1111	0.2222	0.4444	0.5556	0.5556	0.6667	0.7778	0.7778	0.7778	0.7778	0.7778	0.7778	0.7778	0.8889	0.8889	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
Эстонская ССР	1126413	1942	12	23	0.0	0.0	0.0	0.0	0.0	0.0	0.1364	0.2727	0.3182	0.4091	0.4545	0.4545	0.5	0.5	0.5455	0.8182	0.8182	0.8182	0.8636	0.8636	0.9091	0.9091	0.9091	0.9091	0.9545	0.9545	0.9545	0.9545	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
Эстонская ССР	1126413	1943	1	17	0.0	0.0	0.0	0.0	0.2857	0.2857	0.2857	0.2857	0.2857	0.2857	0.2857	0.3571	0.4286	0.4286	0.5	0.5714	0.5714	0.6429	0.6429	0.6429	0.7143	0.7857	0.8571	0.8571	0.8571	0.8571	0.8571	0.9286	0.9286	1.0	1.0	1.0	1.0	1.0	1.0	1.0
Эстонская ССР	1126413	1943	2	2	0.0	0.0	0.0	0.0	0.5	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
Эстонская ССР	1126413	1943	3	5	0.0	0.0	0.0	0.0	0.2	0.2	0.2	0.2	0.2	0.4	0.4	0.6	0.6	0.6	0.6	0.6	0.6	0.6	0.8	0.8	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
Эстонская ССР	1126413	1943	4	5	0.0	0.0	0.0	0.2	0.4	0.4	0.4	0.6	0.6	0.6	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	1.0	1.0	1.0	1.0	1.0	1.0	1.0
Эстонская ССР	1126413	1943	5	5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.2	0.4	0.4	0.4	0.4	0.4	0.4	0.4	0.4	0.6	0.6	0.6	0.8	0.8	0.8	0.8	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
Эстонская ССР	1126413	1943	6	4	0.0	0.0	0.0	0.0	0.25	0.25	0.25	0.25	0.75	0.75	0.75	0.75	0.75	0.75	0.75	0.75	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
Эстонская ССР	1126413	1943	7	4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.25	0.25	0.5	0.5	0.5	0.5	0.5	0.75	0.75	0.75	0.75	0.75	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
Эстонская ССР	1126413	1943	8	4	0.0	0.0	0.0	0.0	0.0	0.25	0.25	0.25	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.75	0.75	0.75	0.75	0.75	0.75	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
Эстонская ССР	1126413	1943	9	6	0.0	0.0	0.0	0.0	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.5	0.5	0.5	0.5	0.75	0.75	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
Эстонская ССР	1126413	1943	10	2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
Эстонская ССР	1126413	1943	11	6	0.0	0.0	0.0	0.5	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
Эстонская ССР	1126413	1943	12	1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
Эстонская ССР	1126413	1944	1	40	0.0	0.0	0.0	0.0	0.1	0.225	0.35	0.5	0.575	0.6	0.6	0.65	0.675	0.7	0.7	0.75	0.75	0.75	0.8	0.85	0.925	0.925	0.975	0.975	0.975	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
Эстонская ССР	1126413	1944	2	22	0.0	0.0	0.0	0.0	0.1364	0.1818	0.3182	0.4091	0.4545	0.4545	0.4545	0.4545	0.5	0.5909	0.5909	0.5909	0.5909	0.6818	0.8636	0.9545	0.9545	0.9545	0.9545	0.9545	0.9545	0.9545	0.9545	0.9545	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
Эстонская ССР	1126413	1944	3	12	0.0	0.0	0.0	0.0	0.0	0.0833	0.0833	0.0833	0.1667	0.1667	0.1667	0.1667	0.1667	0.1667	0.1667	0.25	0.3333	0.5833	0.6667	0.6667	0.6667	0.8333	0.9167	0.9167	0.9167	0.9167	0.9167	0.9167	0.9167	1.0	1.0	1.0	1.0	1.0	1.0	1.0
Эстонская ССР	1126413	1944	4	18	0.0	0.0	0.0	0.0	0.1667	0.2222	0.2778	0.3889	0.4444	0.4444	0.5556	0.6111	0.6111	0.6111	0.6111	0.6111	0.6667	0.7778	0.7778	0.8333	0.9444	0.9444	0.9444	0.9444	0.9444	0.9444	0.9444	0.9444	0.9444	0.9444	1.0	1.0	1.0	1.0	1.0	1.0
Эстонская ССР	1126413	1944	5	5	0.0	0.0	0.0	0.0	0.2	0.2	0.2	0.4	0.6	0.6	0.6	0.6	0.6	0.6	0.6	0.6	0.6	0.8	0.8	0.8	0.8	0.8	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
Эстонская ССР	1126413	1944	6	6	0.0	0.0	0.0	0.0	0.0	0.2	0.2	0.2	0.4	0.4	0.4	0.4	0.4	0.4	0.4	0.4	0.4	0.4	0.6	0.8	0.8	0.8	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
Эстонская ССР	1126413	1944	7	11	0.0	0.0	0.0	0.0	0.2727	0.2727	0.2727	0.3636	0.4545	0.6364	0.6364	0.6364	0.6364	0.6364	0.6364	0.6364	0.8182	0.9091	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
Эстонская ССР	1126413	1944	8	1046	0.0	0.0	0.0	0.0	0.3369	0.4079	0.4818	0.548	0.5912	0.6507	0.6775	0.6958	0.7294	0.7476	0.7745	0.7994	0.8225	0.8455	0.881	0.9107	0.9463	0.9674	0.9914	0.9914	0.9914	0.9942	0.9962	0.9981	0.999	0.999	1.0	1.0	1.0	1.0	1.0	1.0
Эстонская ССР	1126413	1944	9	576	0.0	0.0	0.0	0.0	0.1955	0.3194	0.3857	0.4468	0.4904	0.5253	0.5689	0.5969	0.6387	0.6649	0.6963	0.7225	0.7592	0.801	0.8377	0.8674	0.8953	0.9354	0.9773	0.9843	0.9878	0.993	0.9948	0.9948	0.9965	0.9965	1.0	1.0	1.0	1.0	1.0	1.0
Эстонская ССР	1126413	1944	10	985	0.0	0.0	0.0	0.002	0.1516	0.2777	0.3642	0.4364	0.4669	0.5025	0.5361	0.5738	0.6144	0.6358	0.6612	0.705	0.7477	0.7864	0.821	0.8708	0.9135	0.9532	0.9837	0.9868	0.9878	0.9898	0.9959	0.999	0.999	1.0	1.0	1.0	1.0	1.0	1.0	1.0
Эстонская ССР	1126413	1944	11	1819	0.0	0.0006	0.0006	0.0011	0.165	0.2724	0.3715	0.454	0.4911	0.5299	0.5565	0.5853	0.6207	0.6451	0.6645	0.7065	0.7481	0.7813	0.8195	0.8594	0.8987	0.943	0.9928	0.9945	0.995	0.995	0.9961	0.9989	0.9994	0.9994	1.0	1.0	1.0	1.0	1.0	1.0
Эстонская ССР	1126413	1944	12	585	0.0	0.0	0.0	0.0	0.1081	0.1904	0.2556	0.3208	0.3688	0.4031	0.4305	0.4614	0.494	0.5111	0.5489	0.5832	0.6226	0.693	0.7547	0.8165	0.8834	0.9434	0.9863	0.988	0.988	0.988	0.988	0.9931	0.9983	1.0	1.0	1.0	1.0	1.0	1.0	1.0
Эстонская ССР	1126413	1945	1	143	0.0	0.0	0.0	0.0	0.0	0.1818	0.2517	0.3706	0.4476	0.5035	0.5245	0.5385	0.5734	0.5874	0.6294	0.6643	0.6713	0.7692	0.8322	0.8881	0.9231	0.9441	0.965	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
Эстонская ССР	1126413	1945	2	6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.3333	0.3333	0.3333	0.3333	0.3333	0.3333	0.5	0.5	0.5	0.6667	0.6667	0.6667	0.8333	0.8333	0.8333	0.8333	0.8333	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
Эстонская ССР	1126413	1945	3	33	0.0	0.0	0.0	0.0	0.0	0.0	0.0333	0.1333	0.2333	0.3	0.3667	0.4333	0.4333	0.4667	0.5	0.5333	0.6333	0.6333	0.6333	0.7	0.7	0.7333	0.7333	0.8	0.8	0.8667	0.9	0.9667	0.9667	0.9667	0.9667	1.0	1.0	1.0	1.0	1.0
Эстонская ССР	1126413	1945	4	94	0.0	0.0	0.0	0.0	0.0	0.0659	0.1429	0.1978	0.2857	0.3187	0.3407	0.3626	0.3846	0.4396	0.4505	0.4725	0.5385	0.6044	0.6374	0.6593	0.7253	0.8242	0.8462	0.9121	0.9121	0.9231	0.956	0.967	0.978	0.978	0.989	1.0	1.0	1.0	1.0	1.0
Эстонская ССР	1126413	1945	5	86	0.0	0.0	0.0	0.0	0.0465	0.093	0.1512	0.314	0.3372	0.3837	0.3837	0.3953	0.4419	0.5349	0.593	0.6163	0.6395	0.6628	0.6744	0.7326	0.8372	0.907	0.9302	0.9535	0.9651	0.9651	0.9651	0.9651	0.9884	0.9884	1.0	1.0	1.0	1.0	1.0	1.0
Эстонская ССР	1126413	1945	6	20	0.0	0.0	0.0	0.0	0.0	0.05	0.15	0.2	0.3	0.3	0.3	0.3	0.4	0.4	0.4	0.45	0.5	0.5	0.5	0.5	0.55	0.55	0.55	0.55	0.6	0.6	0.7	0.8	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
Эстонская ССР	1126413	1945	7	7	0.0	0.0	0.0	0.0	0.0	0.2857	0.4286	0.5714	0.5714	0.7143	0.7143	0.7143	0.7143	0.7143	0.7143	0.7143	0.7143	0.7143	0.7143	0.8571	0.8571	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
Эстонская ССР	1126413	1945	8	7	0.0	0.0	0.0	0.0	0.0	0.0	0.1429	0.2857	0.2857	0.2857	0.5714	0.5714	0.8571	0.8571	0.8571	0.8571	0.8571	0.8571	0.8571	0.8571	0.8571	0.8571	0.8571	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
Эстонская ССР	1126413	1945	9	9	0.0	0.0	0.0	0.0	0.6667	0.6667	0.6667	0.6667	0.6667	0.7778	0.7778	0.7778	0.7778	0.7778	0.7778	0.7778	0.7778	0.7778	0.8889	0.8889	0.8889	0.8889	0.8889	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
Эстонская ССР	1126413	1945	10	2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5	0.5	0.5	0.5	0.5	0.5	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
Эстонская ССР	1126413	1945	11	0																																				
Эстонская ССР	1126413	1945	12	0																																				
